[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
[26-Mar-2018 21:27:47 UTC] PHP Notice:  Undefined index: foodname in /home/ubuntu/workspace/projects/project_1/functions.php on line 61
